"data";"valor"
"30/09/2015";"0,052531"
"01/10/2015";"0,052531"
"02/10/2015";"0,052531"
"05/10/2015";"0,052531"
"06/10/2015";"0,052531"
"07/10/2015";"0,052531"
"08/10/2015";"0,052531"
"09/10/2015";"0,052531"
"13/10/2015";"0,052531"
"14/10/2015";"0,052531"
"15/10/2015";"0,052531"
"16/10/2015";"0,052531"
"19/10/2015";"0,052531"
"20/10/2015";"0,052531"
"21/10/2015";"0,052531"
"22/10/2015";"0,052531"
"23/10/2015";"0,052531"
"26/10/2015";"0,052531"
"27/10/2015";"0,052531"
"28/10/2015";"0,052531"
"29/10/2015";"0,052531"
"30/10/2015";"0,052531"
"03/11/2015";"0,052531"
"04/11/2015";"0,052531"
"05/11/2015";"0,052531"
"06/11/2015";"0,052531"
"09/11/2015";"0,052531"
"10/11/2015";"0,052531"
"11/11/2015";"0,052531"
"12/11/2015";"0,052531"
"13/11/2015";"0,052531"
"16/11/2015";"0,052531"
"17/11/2015";"0,052531"
"18/11/2015";"0,052531"
"19/11/2015";"0,052531"
"20/11/2015";"0,052531"
"23/11/2015";"0,052531"
"24/11/2015";"0,052531"
"25/11/2015";"0,052531"
"26/11/2015";"0,052531"
"27/11/2015";"0,052531"
"30/11/2015";"0,052531"
"01/12/2015";"0,052531"
"02/12/2015";"0,052531"
"03/12/2015";"0,052531"
"04/12/2015";"0,052531"
"07/12/2015";"0,052531"
"08/12/2015";"0,052531"
"09/12/2015";"0,052531"
"10/12/2015";"0,052531"
"11/12/2015";"0,052531"
"14/12/2015";"0,052531"
"15/12/2015";"0,052531"
"16/12/2015";"0,052531"
"17/12/2015";"0,052531"
"18/12/2015";"0,052531"
"21/12/2015";"0,052531"
"22/12/2015";"0,052531"
"23/12/2015";"0,052531"
"24/12/2015";"0,052531"
"28/12/2015";"0,052531"
"29/12/2015";"0,052531"
"30/12/2015";"0,052531"
"31/12/2015";"0,052531"
"04/01/2016";"0,052531"
"05/01/2016";"0,052531"
"06/01/2016";"0,052531"
"07/01/2016";"0,052531"
"08/01/2016";"0,052531"
"11/01/2016";"0,052531"
"12/01/2016";"0,052531"
"13/01/2016";"0,052531"
"14/01/2016";"0,052531"
"15/01/2016";"0,052531"
"18/01/2016";"0,052531"
"19/01/2016";"0,052531"
"20/01/2016";"0,052531"
"21/01/2016";"0,052531"
"22/01/2016";"0,052531"
"25/01/2016";"0,052531"
